artifact,prop
artifact0,300
artifact1,301
artifact2,302
artifact3,303
artifact4,304
artifact5,305
artifact6,306
artifact7,307
artifact8,308
artifact9,309
artifact10,310
artifact11,311
artifact12,312
artifact13,313
artifact14,314
artifact15,315
artifact16,316
artifact17,317
artifact18,318
artifact19,319
artifact20,320
artifact21,321
artifact22,322
artifact23,323
artifact24,324
artifact25,325
artifact26,326
artifact27,327
artifact28,328
artifact29,329
artifact30,330
artifact31,331
artifact32,332
artifact33,333
artifact34,334
artifact35,335
artifact36,336
artifact37,337
artifact38,338
artifact39,339
artifact40,340
artifact41,341
artifact42,342
artifact43,343
artifact44,344
artifact45,345
artifact46,346
artifact47,347
artifact48,348
artifact49,349
artifact50,350
artifact51,351
artifact52,352
artifact53,353
artifact54,354
artifact55,355
artifact56,356
artifact57,357
artifact58,358
artifact59,359
artifact60,360
artifact61,361
artifact62,362
artifact63,363
artifact64,364
artifact65,365
artifact66,366
artifact67,367
artifact68,368
artifact69,369
artifact70,370
artifact71,371
artifact72,372
artifact73,373
artifact74,374
artifact75,375
artifact76,376
artifact77,377
artifact78,378
artifact79,379
artifact80,380
artifact81,381
artifact82,382
artifact83,383
artifact84,384
artifact85,385
artifact86,386
artifact87,387
artifact88,388
artifact89,389
artifact90,390
artifact91,391
artifact92,392
artifact93,393
artifact94,394
artifact95,395
artifact96,396
artifact97,397
artifact98,398
artifact99,399
artifact100,400
artifact101,401
artifact102,402
artifact103,403
artifact104,404
artifact105,405
artifact106,406
artifact107,407
artifact108,408
artifact109,409
artifact110,410
artifact111,411
artifact112,412
artifact113,413
artifact114,414
artifact115,415
artifact116,416
artifact117,417
artifact118,418
artifact119,419
artifact120,420
artifact121,421
artifact122,422
artifact123,423
artifact124,424
artifact125,425
artifact126,426
artifact127,427
artifact128,428
artifact129,429
artifact130,430
artifact131,431
artifact132,432
artifact133,433
artifact134,434
artifact135,435
artifact136,436
artifact137,437
artifact138,438
artifact139,439
artifact140,440
artifact141,441
artifact142,442
artifact143,443
artifact144,444
artifact145,445
artifact146,446
artifact147,447
artifact148,448
artifact149,449
artifact150,450
artifact151,451
artifact152,452
artifact153,453
artifact154,454
artifact155,455
artifact156,456
artifact157,457
artifact158,458
artifact159,459
artifact160,460
artifact161,461
artifact162,462
artifact163,463
artifact164,464
artifact165,465
artifact166,466
artifact167,467
artifact168,468
artifact169,469
artifact170,470
artifact171,471
artifact172,472
artifact173,473
artifact174,474
artifact175,475
artifact176,476
artifact177,477
artifact178,478
artifact179,479
artifact180,480
artifact181,481
artifact182,482
artifact183,483
artifact184,484
artifact185,485
artifact186,486
artifact187,487
artifact188,488
artifact189,489
artifact190,490
artifact191,491
artifact192,492
artifact193,493
artifact194,494
artifact195,495
artifact196,496
artifact197,497
artifact198,498
artifact199,499
